;gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cell;cancer
26154;CORO1B;3.37E-07;0.293046953;0.408;0.217;0.011345851;Pericyte;Colon
26155;ENPEP;3.43E-07;0.273907569;0.225;0.082;0.011547157;Pericyte;Colon
26156;CNN1;3.58E-07;-0.44955666;0.457;0.483;0.012048356;Pericyte;Colon
26157;ECM1;3.68E-07;0.269846514;0.272;0.12;0.012403508;Pericyte;Colon
26158;WDR26;3.73E-07;0.333027325;0.176;0.041;0.012567483;Pericyte;Colon
26159;NET1;3.77E-07;-0.649778534;0.39;0.498;0.012688597;Pericyte;Colon
26160;DDIT3;3.91E-07;-0.270282202;0.185;0.154;0.013159367;Pericyte;Colon
26161;CCNL1;3.96E-07;-0.257080784;0.393;0.315;0.013356335;Pericyte;Colon
26162;CDS2;4.01E-07;-0.321985794;0.26;0.243;0.013520538;Pericyte;Colon
26163;TMED9;4.02E-07;0.302830304;0.523;0.318;0.013529372;Pericyte;Colon
26164;TOMM20;4.03E-07;0.25446736;0.564;0.367;0.013581926;Pericyte;Colon
26165;LIMS2;4.05E-07;-0.556557927;0.188;0.288;0.013659198;Pericyte;Colon
26166;GLS;4.06E-07;0.2514831;0.269;0.116;0.013689062;Pericyte;Colon
26167;MIDN;4.28E-07;-0.329621803;0.269;0.225;0.014419494;Pericyte;Colon
26168;ITGA5;4.36E-07;0.292206503;0.153;0.03;0.014677765;Pericyte;Colon
26169;CALM2;4.38E-07;-0.329825277;0.936;0.974;0.014772045;Pericyte;Colon
26170;PLPP1;4.49E-07;0.257650682;0.353;0.184;0.015135641;Pericyte;Colon
26171;MORF4L2;4.83E-07;0.346187547;0.627;0.412;0.016279603;Pericyte;Colon
26172;DNAJA1;5.01E-07;0.294986577;0.442;0.251;0.016868174;Pericyte;Colon
26173;CITED2;5.02E-07;-0.493089423;0.309;0.258;0.016918782;Pericyte;Colon
26174;TRIP6;5.05E-07;-0.286608252;0.384;0.356;0.01700329;Pericyte;Colon
26175;NEURL1B;5.06E-07;0.250764541;0.344;0.18;0.017046563;Pericyte;Colon
26176;PCBD1;5.14E-07;-0.32991843;0.251;0.266;0.017319688;Pericyte;Colon
26177;TRIM38;5.17E-07;0.253178803;0.205;0.067;0.017429583;Pericyte;Colon
26178;MYO1C;5.19E-07;-0.340288604;0.405;0.39;0.017478332;Pericyte;Colon
26179;EIF3M;5.23E-07;0.279888214;0.434;0.24;0.01760797;Pericyte;Colon
26180;CD59;5.27E-07;0.468118703;0.841;0.674;0.017750744;Pericyte;Colon
26181;HSPA1B;5.31E-07;0.993492471;0.387;0.206;0.017890834;Pericyte;Colon
26182;TTC19;5.45E-07;-0.378659568;0.133;0.146;0.018355865;Pericyte;Colon
26183;CAMK1;5.55E-07;-0.395478006;0.182;0.228;0.018693623;Pericyte;Colon
26184;FHL5;5.88E-07;-0.427662714;0.295;0.322;0.019810354;Pericyte;Colon
26185;NAA10;5.92E-07;0.261185416;0.445;0.255;0.019933779;Pericyte;Colon
26186;CRIM1;6.74E-07;-0.371128459;0.503;0.491;0.022722496;Pericyte;Colon
26187;LDOC1;6.79E-07;-0.413748717;0.107;0.187;0.02287676;Pericyte;Colon
26188;NPY1R;7.10E-07;-0.583119332;0.095;0.206;0.023930842;Pericyte;Colon
26189;PLSCR1;7.15E-07;0.263038061;0.211;0.071;0.024079912;Pericyte;Colon
26190;ATF3;7.43E-07;-0.346712403;0.329;0.273;0.025019003;Pericyte;Colon
26191;SDHD;7.45E-07;-0.288373957;0.379;0.341;0.025088181;Pericyte;Colon
26192;SAT1;7.53E-07;0.460261201;0.52;0.318;0.025377762;Pericyte;Colon
26193;GPX8;7.62E-07;0.301752401;0.197;0.056;0.025678558;Pericyte;Colon
26194;FKBP1A;7.69E-07;0.300457587;0.697;0.491;0.025911337;Pericyte;Colon
26195;RPL18A;7.88E-07;0.264718215;0.988;0.985;0.026552142;Pericyte;Colon
26196;CRABP2;8.16E-07;-0.544608028;0.04;0.131;0.027500223;Pericyte;Colon
26197;FHL1;8.60E-07;-0.504679321;0.529;0.584;0.028990819;Pericyte;Colon
26198;MRPL3;8.71E-07;0.271743955;0.295;0.131;0.029352251;Pericyte;Colon
26199;COX7A1;8.74E-07;-0.315848511;0.74;0.727;0.029458913;Pericyte;Colon
26200;PTP4A2;8.96E-07;0.355183266;0.37;0.184;0.030197743;Pericyte;Colon
26201;DDIT4;9.07E-07;-0.268656657;0.379;0.333;0.03057373;Pericyte;Colon
26202;SLC25A3;9.08E-07;0.344637364;0.801;0.607;0.030577416;Pericyte;Colon
26203;HADH;9.08E-07;-0.39359351;0.168;0.225;0.030582683;Pericyte;Colon
26204;HSD17B12;9.23E-07;-0.359126354;0.249;0.243;0.031094408;Pericyte;Colon
26205;PDIA4;9.83E-07;0.280491348;0.275;0.12;0.033109919;Pericyte;Colon
26206;GSTA4;9.89E-07;-0.279349656;0.197;0.187;0.033320492;Pericyte;Colon
26207;RARRES3;1.00E-06;0.482811337;0.286;0.116;0.033777246;Pericyte;Colon
26208;PDK4;1.03E-06;-0.868807938;0.283;0.438;0.034762644;Pericyte;Colon
26209;ANGPTL1;1.04E-06;-0.691483433;0.199;0.348;0.035159041;Pericyte;Colon
26210;SNRNP27;1.05E-06;-0.274070382;0.225;0.202;0.035297379;Pericyte;Colon
26211;ETHE1;1.10E-06;0.311127278;0.283;0.124;0.037060265;Pericyte;Colon
26212;JAG1;1.11E-06;0.329918281;0.636;0.434;0.037452234;Pericyte;Colon
26213;SYTL2;1.15E-06;0.250721542;0.347;0.184;0.038653621;Pericyte;Colon
26214;VAMP3;1.16E-06;0.271852598;0.35;0.18;0.039041848;Pericyte;Colon
26215;FMO3;1.18E-06;0.296223258;0.116;0.015;0.039661012;Pericyte;Colon
26216;RPS19;1.19E-06;0.275604494;0.997;0.974;0.04022684;Pericyte;Colon
26217;11-Sep;1.22E-06;0.359207252;0.448;0.255;0.041084352;Pericyte;Colon
26218;YPEL2;1.24E-06;0.307084549;0.251;0.105;0.041764219;Pericyte;Colon
26219;SEC61B;1.31E-06;0.310944897;0.668;0.464;0.044172952;Pericyte;Colon
26220;PDGFRB;1.33E-06;0.52571823;0.798;0.607;0.044678237;Pericyte;Colon
26221;TMEM59;1.35E-06;0.273790329;0.809;0.622;0.045650836;Pericyte;Colon
26222;RND3;1.36E-06;-0.257774444;0.309;0.247;0.045956538;Pericyte;Colon
26223;TTC3;1.45E-06;-0.264698136;0.387;0.341;0.048818196;Pericyte;Colon
26224;JCHAIN;1.17E-197;-1.247985408;0.954;1;3.93E-193;Plasma;Colon
26225;IGHA1;2.50E-157;-1.008685238;0.878;1;8.41E-153;Plasma;Colon
26226;IGHG3;1.25E-97;4.048883907;0.672;0.193;4.20E-93;Plasma;Colon
26227;IGHA2;1.80E-87;-1.610564465;0.487;0.961;6.05E-83;Plasma;Colon
26228;AL928768.3;1.29E-86;-2.104943432;0.391;0.906;4.35E-82;Plasma;Colon
26229;IGHG4;1.42E-78;3.718789754;0.634;0.178;4.80E-74;Plasma;Colon
26230;IGHG1;7.75E-76;3.211279883;0.618;0.194;2.61E-71;Plasma;Colon
26231;IGHGP;5.83E-68;4.366649345;0.445;0.039;1.97E-63;Plasma;Colon
26232;COL1A1;3.26E-65;1.168871935;0.361;0.034;1.10E-60;Plasma;Colon
26233;COL3A1;1.35E-58;0.989898639;0.336;0.065;4.54E-54;Plasma;Colon
26234;MMP7;4.17E-56;0.400736086;0.223;0;1.41E-51;Plasma;Colon
26235;IGHG2;4.25E-56;1.337942969;0.513;0.078;1.43E-51;Plasma;Colon
26236;COL1A2;1.82E-52;0.965666858;0.349;0.09;6.14E-48;Plasma;Colon
26237;HSP90AA1;2.38E-52;1.692960163;0.908;0.749;8.02E-48;Plasma;Colon
26238;CXCR4;2.99E-50;1.353301882;0.475;0.088;1.01E-45;Plasma;Colon
26239;SPP1;3.19E-48;0.367045979;0.248;0.006;1.07E-43;Plasma;Colon
26240;XBP1;1.41E-47;0.966211468;0.912;0.944;4.76E-43;Plasma;Colon
26241;CD48;6.05E-43;-0.734876127;0.168;0.627;2.04E-38;Plasma;Colon
26242;EEF1A1;1.53E-41;-0.725454506;0.971;0.994;5.16E-37;Plasma;Colon
26243;SPARC;1.27E-39;0.848868617;0.374;0.087;4.27E-35;Plasma;Colon
26244;TNFRSF17;8.22E-36;-0.838759766;0.681;0.891;2.77E-31;Plasma;Colon
26245;S100A6;7.17E-35;0.805303895;0.702;0.727;2.41E-30;Plasma;Colon
26246;LCN2;1.54E-34;0.334529682;0.197;0.008;5.18E-30;Plasma;Colon
26247;BGN;1.36E-33;0.389905493;0.223;0.016;4.58E-29;Plasma;Colon
26248;ACTA2;3.41E-32;0.53210188;0.273;0.039;1.15E-27;Plasma;Colon
26249;KRT19;3.42E-32;0.639693253;0.361;0.132;1.15E-27;Plasma;Colon
26250;RPL15;1.93E-31;-0.605644477;0.929;0.975;6.52E-27;Plasma;Colon
26251;FN1;3.07E-31;0.344946266;0.248;0.028;1.04E-26;Plasma;Colon
26252;CCND2;4.41E-29;0.46459945;0.244;0.03;1.49E-24;Plasma;Colon
26253;HSPA1B;6.68E-29;1.031638635;0.739;0.473;2.25E-24;Plasma;Colon
26254;TSC22D3;3.69E-28;-0.688225721;0.903;0.978;1.24E-23;Plasma;Colon
26255;TFF3;3.78E-28;0.705535201;0.529;0.26;1.27E-23;Plasma;Colon
26256;JSRP1;5.70E-28;0.891585225;0.42;0.224;1.92E-23;Plasma;Colon
26257;IFI6;7.51E-28;0.752518592;0.538;0.243;2.53E-23;Plasma;Colon
26258;PRDX4;2.34E-27;0.654032619;0.811;0.781;7.88E-23;Plasma;Colon
26259;H3F3B;8.27E-27;-1.120073151;0.815;0.954;2.79E-22;Plasma;Colon
26260;TNFRSF18;3.68E-26;-0.423215439;0.118;0.454;1.24E-21;Plasma;Colon
26261;IFITM3;4.22E-26;0.454384333;0.349;0.095;1.42E-21;Plasma;Colon
26262;RPL3;6.16E-26;-0.609710248;0.966;0.992;2.08E-21;Plasma;Colon
26263;SPINK2;6.33E-26;-0.718939698;0.021;0.292;2.13E-21;Plasma;Colon
26264;PTP4A3;8.02E-26;0.449242917;0.189;0.019;2.70E-21;Plasma;Colon
26265;IGFBP7;1.63E-25;0.969501882;0.387;0.109;5.49E-21;Plasma;Colon
26266;S100A11;1.74E-25;0.69685778;0.626;0.456;5.85E-21;Plasma;Colon
26267;HSPA1A;3.61E-25;1.001665559;0.685;0.359;1.22E-20;Plasma;Colon
26268;KRT8;8.45E-24;0.551502393;0.378;0.186;2.85E-19;Plasma;Colon
26269;TAGLN;8.88E-24;0.631314265;0.29;0.066;2.99E-19;Plasma;Colon
26270;C10orf10;1.65E-23;0.320353533;0.172;0.014;5.54E-19;Plasma;Colon
26271;RPL6;1.67E-23;-0.493510758;0.924;0.967;5.64E-19;Plasma;Colon
26272;GNG7;3.00E-23;-0.501197617;0.311;0.64;1.01E-18;Plasma;Colon
26273;RPS14;5.20E-23;-0.608514402;0.945;0.985;1.75E-18;Plasma;Colon
26274;MZB1;6.37E-23;0.780781613;0.979;0.982;2.15E-18;Plasma;Colon
26275;RPL9;7.84E-23;-0.510025341;0.924;0.967;2.64E-18;Plasma;Colon
26276;RPL11;9.06E-23;-0.540782321;0.958;0.981;3.05E-18;Plasma;Colon
26277;LUM;1.04E-22;0.611928659;0.34;0.179;3.50E-18;Plasma;Colon
26278;TNFRSF13B;2.14E-22;-0.441666895;0.176;0.503;7.22E-18;Plasma;Colon
26279;IFI27;2.15E-22;0.498229606;0.387;0.139;7.23E-18;Plasma;Colon
26280;ATP5E;5.08E-22;0.491268601;0.866;0.906;1.71E-17;Plasma;Colon
26281;RPS18;8.22E-22;-0.573201497;0.979;0.993;2.77E-17;Plasma;Colon
26282;CFD;8.34E-22;-0.48392785;0.092;0.374;2.81E-17;Plasma;Colon
26283;PABPC4;1.42E-21;-0.687368363;0.403;0.721;4.77E-17;Plasma;Colon
26284;RPL18;1.96E-21;-0.527626524;0.945;0.981;6.60E-17;Plasma;Colon
26285;CEACAM6;3.54E-21;0.264684924;0.147;0.012;1.19E-16;Plasma;Colon
26286;RPL34;4.10E-21;-0.621645548;0.975;0.987;1.38E-16;Plasma;Colon
26287;IGLV1-41;4.63E-21;0.609025723;0.122;0.008;1.56E-16;Plasma;Colon
26288;PECAM1;6.03E-21;0.496775125;0.357;0.143;2.03E-16;Plasma;Colon
26289;LYZ;1.13E-20;0.339514596;0.231;0.042;3.80E-16;Plasma;Colon
26290;RPS6;1.15E-20;-0.481807406;0.962;0.981;3.88E-16;Plasma;Colon
26291;CD69;1.39E-20;-0.795220257;0.101;0.382;4.68E-16;Plasma;Colon
26292;RPS23;2.42E-20;-0.47524774;0.941;0.977;8.17E-16;Plasma;Colon
26293;RPL23A;3.13E-20;-0.475615049;0.954;0.976;1.05E-15;Plasma;Colon
26294;GRN;5.65E-20;0.487054836;0.496;0.272;1.90E-15;Plasma;Colon
26295;RNASE6;9.32E-20;0.450201;0.239;0.064;3.14E-15;Plasma;Colon
26296;ZFP36L2;1.31E-19;-0.968065141;0.643;0.838;4.41E-15;Plasma;Colon
26297;RPL30;1.90E-19;-0.460396731;0.908;0.965;6.39E-15;Plasma;Colon
26298;BTG1;2.25E-19;-0.796734435;0.601;0.83;7.59E-15;Plasma;Colon
26299;RPL26;4.55E-19;-0.502778349;0.971;0.974;1.53E-14;Plasma;Colon
26300;PIM2;4.88E-19;0.724178713;0.765;0.65;1.65E-14;Plasma;Colon
26301;CAV1;5.59E-19;0.379190472;0.345;0.117;1.88E-14;Plasma;Colon
26302;RPL13;1.08E-18;-0.447624777;0.979;0.996;3.64E-14;Plasma;Colon
26303;CD38;1.17E-18;0.532717805;0.559;0.349;3.96E-14;Plasma;Colon
26304;RPS25;1.38E-18;-0.471115621;0.929;0.977;4.64E-14;Plasma;Colon
26305;TFF1;1.42E-18;0.320495536;0.155;0.029;4.79E-14;Plasma;Colon
26306;RNASET2;2.02E-18;-0.472018902;0.382;0.667;6.81E-14;Plasma;Colon
26307;NEAT1;2.44E-18;0.874555274;0.912;0.929;8.20E-14;Plasma;Colon
26308;IGLV1-51;4.07E-18;2.675650711;0.193;0.05;1.37E-13;Plasma;Colon
26309;SMARCB1;4.39E-18;-0.38887933;0.244;0.54;1.48E-13;Plasma;Colon
26310;RPL19;8.71E-18;-0.433118821;0.933;0.976;2.93E-13;Plasma;Colon
26311;RPL8;8.77E-18;-0.446837829;0.971;0.988;2.95E-13;Plasma;Colon
26312;RPL39;2.23E-17;-0.533166776;0.979;0.981;7.50E-13;Plasma;Colon
26313;ERLEC1;5.17E-17;0.493281842;0.723;0.671;1.74E-12;Plasma;Colon
26314;IGLV6-57;5.31E-17;1.525672518;0.382;0.32;1.79E-12;Plasma;Colon
26315;DNAJB1;6.27E-17;0.70008767;0.609;0.398;2.11E-12;Plasma;Colon
26316;RPL4;6.88E-17;-0.394609478;0.861;0.943;2.32E-12;Plasma;Colon
26317;RPL10A;7.18E-17;-0.447800038;0.887;0.953;2.42E-12;Plasma;Colon
26318;VIM;9.15E-17;-0.660533582;0.845;0.931;3.08E-12;Plasma;Colon
26319;RPL5;1.17E-16;-0.493758147;0.924;0.958;3.93E-12;Plasma;Colon
26320;LMAN1;2.66E-16;0.590263104;0.748;0.576;8.95E-12;Plasma;Colon
26321;RPS3;3.06E-16;-0.420154531;0.958;0.976;1.03E-11;Plasma;Colon
26322;RPL31;3.27E-16;-0.368735838;0.853;0.968;1.10E-11;Plasma;Colon
26323;SPCS3;3.69E-16;0.513953227;0.761;0.75;1.24E-11;Plasma;Colon
26324;NACA;4.17E-16;-0.457911368;0.811;0.923;1.40E-11;Plasma;Colon
26325;RPL13A;4.39E-16;-0.459249194;0.966;0.992;1.48E-11;Plasma;Colon
26326;RPL7;5.53E-16;-0.475988728;0.945;0.973;1.86E-11;Plasma;Colon
26327;RPS20;8.76E-16;-0.435229137;0.941;0.967;2.95E-11;Plasma;Colon
26328;TYROBP;1.08E-15;0.573901829;0.164;0.042;3.62E-11;Plasma;Colon
26329;RPLP2;2.18E-15;-0.400690446;0.983;0.989;7.34E-11;Plasma;Colon
26330;SOCS3;3.15E-15;0.564843177;0.311;0.124;1.06E-10;Plasma;Colon
26331;RPL29;5.81E-15;-0.394749643;0.92;0.971;1.96E-10;Plasma;Colon
26332;TPM2;6.27E-15;0.264014702;0.21;0.047;2.11E-10;Plasma;Colon
26333;CIRBP;6.80E-15;-0.533218959;0.824;0.909;2.29E-10;Plasma;Colon
26334;ITGB7;6.84E-15;-0.366188255;0.273;0.545;2.31E-10;Plasma;Colon
26335;RPS4X;1.52E-14;-0.371935598;0.971;0.986;5.13E-10;Plasma;Colon
26336;GLTSCR2;1.56E-14;-0.445379858;0.651;0.842;5.26E-10;Plasma;Colon
26337;EIF4A2;2.08E-14;-0.497571506;0.685;0.86;7.01E-10;Plasma;Colon
26338;KRT18;3.10E-14;0.420761647;0.311;0.14;1.05E-09;Plasma;Colon
26339;CCR10;3.16E-14;-0.35549776;0.223;0.483;1.06E-09;Plasma;Colon
26340;MYL6;3.66E-14;0.368036313;0.786;0.856;1.23E-09;Plasma;Colon
26341;RPS16;4.08E-14;-0.399961246;0.958;0.976;1.37E-09;Plasma;Colon
26342;RPS27A;4.20E-14;-0.404122757;0.966;0.985;1.42E-09;Plasma;Colon
26343;RPL21;4.29E-14;-0.384239769;0.975;0.982;1.45E-09;Plasma;Colon
26344;DERL3;5.56E-14;0.62118391;0.899;0.905;1.87E-09;Plasma;Colon
26345;TXNIP;8.04E-14;-0.634274664;0.697;0.874;2.71E-09;Plasma;Colon
26346;LDHA;1.33E-13;0.451883504;0.534;0.416;4.47E-09;Plasma;Colon
26347;EVI2B;1.46E-13;-0.512305107;0.492;0.697;4.91E-09;Plasma;Colon
26348;RPL32;1.76E-13;-0.410163278;0.966;0.981;5.94E-09;Plasma;Colon
26349;HSPE1;1.77E-13;0.452507996;0.559;0.491;5.95E-09;Plasma;Colon
26350;LY6E;2.03E-13;0.448288886;0.416;0.231;6.84E-09;Plasma;Colon
26351;CLECL1;3.52E-13;-0.288250901;0.063;0.259;1.19E-08;Plasma;Colon
26352;RPL17;3.90E-13;-0.645621243;0.693;0.854;1.31E-08;Plasma;Colon
26353;WDR74;4.19E-13;-0.647516324;0.231;0.46;1.41E-08;Plasma;Colon
26354;TIMP1;4.88E-13;-0.526385154;0.55;0.738;1.64E-08;Plasma;Colon
26355;RPL35A;5.27E-13;-0.351940421;0.966;0.976;1.78E-08;Plasma;Colon
26356;CH17-373J23.1;5.67E-13;-0.442381752;0.134;0.361;1.91E-08;Plasma;Colon
26357;RPL41;5.85E-13;-0.3889574;0.987;0.992;1.97E-08;Plasma;Colon
26358;FAM92B;7.81E-13;0.27875627;0.239;0.075;2.63E-08;Plasma;Colon
26359;FTH1;8.25E-13;0.350394133;0.899;0.959;2.78E-08;Plasma;Colon
26360;C19orf33;8.59E-13;0.26068244;0.202;0.055;2.90E-08;Plasma;Colon
26361;RNU12;1.05E-12;-0.444773156;0.092;0.297;3.55E-08;Plasma;Colon
26362;HNRNPA1;1.19E-12;-0.469628087;0.731;0.882;4.00E-08;Plasma;Colon
26363;TMCO1;1.28E-12;-0.364468229;0.395;0.634;4.30E-08;Plasma;Colon
26364;RPS27;1.47E-12;-0.510263926;0.987;0.984;4.94E-08;Plasma;Colon
26365;EIF5;3.35E-12;0.493039366;0.5;0.415;1.13E-07;Plasma;Colon
26366;RPS7;4.04E-12;-0.353658201;0.929;0.964;1.36E-07;Plasma;Colon
26367;TYMP;4.14E-12;0.476696403;0.567;0.415;1.40E-07;Plasma;Colon
26368;UBE2J1;5.24E-12;-0.351130561;0.769;0.889;1.76E-07;Plasma;Colon
26369;HSPH1;8.40E-12;0.552638324;0.286;0.144;2.83E-07;Plasma;Colon
26370;SRGN;9.55E-12;-0.381420883;0.819;0.923;3.22E-07;Plasma;Colon
26371;GNB2L1;1.05E-11;-0.375405744;0.916;0.96;3.53E-07;Plasma;Colon
26372;RPS2;1.69E-11;-0.400813705;0.971;0.986;5.69E-07;Plasma;Colon
26373;CTSB;1.70E-11;0.346966951;0.382;0.199;5.74E-07;Plasma;Colon
26374;HSPB1;1.85E-11;0.789226771;0.588;0.484;6.24E-07;Plasma;Colon
26375;RPL10;3.17E-11;-0.424981645;0.996;0.994;1.07E-06;Plasma;Colon
26376;EAF2;3.72E-11;-0.357999989;0.294;0.519;1.25E-06;Plasma;Colon
26377;HBB;4.59E-11;-0.512185487;0.021;0.157;1.55E-06;Plasma;Colon
26378;RARRES2;5.01E-11;0.271443372;0.214;0.088;1.69E-06;Plasma;Colon
26379;THY1;5.46E-11;0.268481755;0.105;0.014;1.84E-06;Plasma;Colon
26380;DERL1;7.47E-11;0.36720412;0.542;0.401;2.52E-06;Plasma;Colon
26381;UQCRQ;1.03E-10;0.377611383;0.769;0.761;3.46E-06;Plasma;Colon
26382;TMBIM6;1.08E-10;0.355038675;0.685;0.731;3.65E-06;Plasma;Colon
26383;RPS12;1.11E-10;-0.371482307;0.975;0.979;3.75E-06;Plasma;Colon
26384;RPS29;1.12E-10;-0.424693289;0.958;0.982;3.77E-06;Plasma;Colon
26385;RPS3A;1.63E-10;-0.367926981;0.95;0.968;5.49E-06;Plasma;Colon
26386;ST6GAL1;1.99E-10;0.408429658;0.399;0.22;6.72E-06;Plasma;Colon
26387;CHCHD2;2.10E-10;0.311076763;0.71;0.739;7.08E-06;Plasma;Colon
26388;RP11-386I14.4;2.24E-10;-0.417555777;0.105;0.291;7.53E-06;Plasma;Colon
26389;PHPT1;2.45E-10;0.380737057;0.643;0.517;8.27E-06;Plasma;Colon
26390;IL32;2.48E-10;0.44656477;0.206;0.07;8.36E-06;Plasma;Colon
26391;RPS13;2.80E-10;-0.295027168;0.933;0.959;9.42E-06;Plasma;Colon
26392;HLA-DRB1;3.02E-10;0.448179485;0.328;0.152;1.02E-05;Plasma;Colon
26393;RPS17;3.28E-10;-0.27865297;0.966;0.983;1.11E-05;Plasma;Colon
26394;CTSD;3.49E-10;0.31547288;0.466;0.307;1.18E-05;Plasma;Colon
26395;PABPC1;4.36E-10;-0.304235668;0.71;0.864;1.47E-05;Plasma;Colon
26396;TECR;4.71E-10;0.403235997;0.618;0.533;1.59E-05;Plasma;Colon
26397;RP11-16E12.2;5.32E-10;0.267482227;0.294;0.142;1.79E-05;Plasma;Colon
26398;SAT1;7.86E-10;0.727553768;0.664;0.577;2.65E-05;Plasma;Colon
26399;RPLP1;1.12E-09;-0.261368703;0.983;0.994;3.76E-05;Plasma;Colon
26400;RPL14;1.15E-09;-0.362526805;0.908;0.956;3.86E-05;Plasma;Colon
26401;ZFP36;1.24E-09;-0.577864538;0.613;0.767;4.17E-05;Plasma;Colon
26402;COX7A2;1.49E-09;0.327652401;0.803;0.835;5.02E-05;Plasma;Colon
26403;ISG15;1.50E-09;0.468275963;0.382;0.219;5.04E-05;Plasma;Colon
26404;ATP6V0B;1.62E-09;0.316669127;0.584;0.552;5.47E-05;Plasma;Colon
26405;SSR4;1.89E-09;0.255824938;0.987;0.997;6.37E-05;Plasma;Colon
26406;GSTP1;1.92E-09;0.393705686;0.828;0.822;6.47E-05;Plasma;Colon
26407;FKBP11;2.28E-09;0.567030003;0.836;0.844;7.67E-05;Plasma;Colon
26408;EIF3D;2.28E-09;-0.339262698;0.307;0.504;7.69E-05;Plasma;Colon
26409;RPL36AL;2.30E-09;-0.336479737;0.857;0.939;7.74E-05;Plasma;Colon
26410;EEF1B2;2.49E-09;-0.349401885;0.84;0.924;8.40E-05;Plasma;Colon
26411;RPN2;2.53E-09;0.420537512;0.731;0.686;8.53E-05;Plasma;Colon
26412;SLC25A6;3.28E-09;-0.326568572;0.849;0.92;0.000110454;Plasma;Colon
26413;EVI2A;3.35E-09;-0.283562291;0.231;0.433;0.000112846;Plasma;Colon
26414;RPS28;3.48E-09;-0.312467842;0.954;0.984;0.000117109;Plasma;Colon
26415;GLIPR1;3.99E-09;0.274051862;0.319;0.184;0.000134481;Plasma;Colon
26416;S100A4;4.08E-09;0.522051853;0.538;0.434;0.000137578;Plasma;Colon
26417;CD79A;4.30E-09;0.404997908;0.824;0.869;0.000144896;Plasma;Colon
26418;RHOA;4.47E-09;0.393275186;0.55;0.554;0.000150628;Plasma;Colon
26419;NUPR1;4.69E-09;0.263347433;0.155;0.049;0.000157893;Plasma;Colon
26420;NDUFAF6;6.69E-09;0.595148114;0.181;0.085;0.000225456;Plasma;Colon
26421;CTA-384D8.34;6.78E-09;0.290610272;0.244;0.11;0.000228517;Plasma;Colon
26422;KLF13;7.13E-09;0.379010668;0.492;0.336;0.000240133;Plasma;Colon
26423;IL2RG;7.93E-09;-0.265566134;0.34;0.54;0.000267131;Plasma;Colon
26424;RPS21;8.18E-09;-0.297236756;0.908;0.966;0.000275711;Plasma;Colon
26425;RPL37A;8.64E-09;-0.28103946;0.958;0.989;0.000291021;Plasma;Colon
26426;PDXK;1.03E-08;0.309415542;0.403;0.244;0.00034677;Plasma;Colon
26427;CHST12;1.04E-08;-0.277782279;0.303;0.494;0.000350414;Plasma;Colon
26428;SERF2;1.07E-08;0.288595524;0.887;0.954;0.000361916;Plasma;Colon
26429;FXYD5;1.09E-08;-0.325618101;0.403;0.588;0.000368927;Plasma;Colon
26430;RPL36;1.29E-08;-0.386372673;0.954;0.982;0.000433556;Plasma;Colon
26431;CPEB4;1.33E-08;0.359910056;0.353;0.186;0.000447342;Plasma;Colon
26432;NDUFB11;1.57E-08;0.382149055;0.782;0.754;0.000527759;Plasma;Colon
26433;RPL36A;1.95E-08;-0.541506546;0.899;0.949;0.00065705;Plasma;Colon
26434;H1FX;2.21E-08;-0.492064876;0.277;0.458;0.000744202;Plasma;Colon
26435;RPL12;2.25E-08;-0.30515515;0.962;0.978;0.000758583;Plasma;Colon
26436;HSPA6;2.36E-08;0.421137303;0.113;0.024;0.000796119;Plasma;Colon
26437;PDIA6;2.50E-08;-0.277261013;0.777;0.877;0.000843582;Plasma;Colon
26438;NOP10;2.55E-08;0.35257236;0.525;0.463;0.000859311;Plasma;Colon
26439;RP11-160E2.6;3.03E-08;-0.400260841;0.244;0.433;0.001022421;Plasma;Colon
26440;IGLC2;3.25E-08;0.479779211;0.756;0.842;0.001093647;Plasma;Colon
26441;ELF3;3.28E-08;0.251357331;0.206;0.085;0.001106337;Plasma;Colon
26442;ST13;3.60E-08;-0.289384692;0.29;0.467;0.00121424;Plasma;Colon
26443;COX6B1;3.70E-08;0.362359273;0.761;0.761;0.001245209;Plasma;Colon
26444;HBA2;3.78E-08;-0.375616698;0.029;0.145;0.001275207;Plasma;Colon
26445;SLC5A3;4.01E-08;0.3133062;0.164;0.066;0.001350318;Plasma;Colon
26446;NDUFA4;4.57E-08;0.276465457;0.723;0.755;0.001538496;Plasma;Colon
26447;RPL23;5.18E-08;-0.311850917;0.87;0.935;0.001746647;Plasma;Colon
26448;RPS9;5.22E-08;-0.256771736;0.954;0.978;0.001757787;Plasma;Colon
26449;LAP3;6.22E-08;0.263883258;0.319;0.173;0.00209444;Plasma;Colon
26450;SSR3;6.40E-08;0.25811428;0.832;0.883;0.002154959;Plasma;Colon
26451;CD74;7.17E-08;0.277354426;0.845;0.921;0.002415051;Plasma;Colon
26452;LY96;7.37E-08;0.341883183;0.508;0.448;0.002481961;Plasma;Colon
26453;UQCR11;7.69E-08;0.273575903;0.727;0.765;0.002591607;Plasma;Colon
26454;COX8A;7.76E-08;0.251054005;0.584;0.594;0.00261629;Plasma;Colon
26455;RASGRP3;8.43E-08;-0.277726528;0.231;0.416;0.002840609;Plasma;Colon
26456;RPL22;9.52E-08;-0.250516869;0.857;0.942;0.003206143;Plasma;Colon
